symptom,pref_label,meddra_code,soc
17-hydroxyprogesterone,17-hydroxyprogesterone,10086164,Investigations
ADAMTS13 activity decreased,ADAMTS13 activity decreased,10074491,Investigations
Abdominal X-ray,Abdominal X-ray,10061612,Investigations
Abdominal adhesiolysis,Abdominal adhesiolysis,10089056,Surgical and medical procedures
Abdominal discomfort,Abdominal discomfort,10000059,Gastrointestinal disorders
Abdominal distension,Abdominal distension,10000060,Gastrointestinal disorders
Abdominal mass,Abdominal mass,10000077,Gastrointestinal disorders
Abdominal neoplasm,Abdominal neoplasm,10060925,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Abdominal operation,Abdominal operation,10061609,Surgical and medical procedures
Abdominal pain,Abdominal pain,10000081,Gastrointestinal disorders
Abdominal pain lower,Abdominal pain lower,10000084,Gastrointestinal disorders
Abdominal pain upper,Abdominal pain upper,10000087,Gastrointestinal disorders
Abdominal rigidity,Abdominal rigidity,10000090,Gastrointestinal disorders
Abdominal tenderness,Abdominal tenderness,10000097,Gastrointestinal disorders
Abdominal wall mass,Abdominal wall mass,10063005,Gastrointestinal disorders
Abnormal behaviour,Abnormal behaviour,10061422,Psychiatric disorders
Abnormal clotting factor,Abnormal clotting factor,10049862,Blood and lymphatic system disorders
Abnormal dreams,Abnormal dreams,10000125,Nervous system disorders
Abnormal faeces,Abnormal faeces,10000133,Gastrointestinal disorders
Abnormal gene carrier,Abnormal gene carrier,10088840,"Congenital, familial and genetic disorders"
Abnormal loss of weight,Abnormal loss of weight,10000159,Metabolism and nutrition disorders
Abnormal menstrual clots,Abnormal menstrual clots,10087591,Reproductive system and breast disorders
Abnormal uterine bleeding,Abnormal uterine bleeding,10085424,Reproductive system and breast disorders
Abnormal weight gain,Abnormal weight gain,10000188,Metabolism and nutrition disorders
Abortion induced,Abortion induced,10000220,Surgical and medical procedures
Abortion spontaneous,Abortion spontaneous,10000234,"Pregnancy, puerperium and perinatal conditions"
Abscess,Abscess,10000269,Infections and infestations
Abscess drainage,Abscess drainage,10000279,Surgical and medical procedures
Abscess limb,Abscess limb,10050473,Musculoskeletal and connective tissue disorders
Abscess neck,Abscess neck,10053576,Musculoskeletal and connective tissue disorders
Abscess sterile,Abscess sterile,10000317,General disorders and administration site conditions
Acantholysis,Acantholysis,10058820,Skin and subcutaneous tissue disorders
Accident,Accident,10000369,"Injury, poisoning and procedural complications"
Accident at work,Accident at work,10000372,"Injury, poisoning and procedural complications"
Accidental exposure to product,Accidental exposure to product,10073317,"Injury, poisoning and procedural complications"
Accidental overdose,Accidental overdose,10000381,"Injury, poisoning and procedural complications"
Accidental underdose,Accidental underdose,10074904,"Injury, poisoning and procedural complications"
Acid base balance normal,Acid base balance normal,10000458,Investigations
Acid fast bacilli infection,Acid fast bacilli infection,10054204,Infections and infestations
Acidosis,Acidosis,10000486,Metabolism and nutrition disorders
Acne,Acne,10000496,Skin and subcutaneous tissue disorders
Acne conglobata,Acne conglobata,10000501,Skin and subcutaneous tissue disorders
Acne infantile,Acne infantile,10000507,Skin and subcutaneous tissue disorders
Acoustic stimulation tests,Acoustic stimulation tests,10000525,Investigations
Acoustic stimulation tests abnormal,Acoustic stimulation tests abnormal,10000526,Investigations
Acoustic stimulation tests normal,Acoustic stimulation tests normal,10000527,Investigations
Acquired factor V deficiency,Acquired factor V deficiency,10086006,Blood and lymphatic system disorders
Acquired haemophilia,Acquired haemophilia,10053745,Blood and lymphatic system disorders
Activated partial thromboplastin time,Activated partial thromboplastin time,10000630,Investigations
Activated partial thromboplastin time abnormal,Activated partial thromboplastin time abnormal,10000631,Investigations
Activated partial thromboplastin time normal,Activated partial thromboplastin time normal,10000635,Investigations
Activated partial thromboplastin time prolonged,Activated partial thromboplastin time prolonged,10000636,Investigations
Activated partial thromboplastin time shortened,Activated partial thromboplastin time shortened,10000637,Investigations
Activated protein C resistance test,Activated protein C resistance test,10067642,Investigations
Activated protein C resistance test positive,Activated protein C resistance test positive,10067648,Investigations
Acute coronary syndrome,Acute coronary syndrome,10051592,Cardiac disorders
Acute disseminated encephalomyelitis,Acute disseminated encephalomyelitis,10000709,Nervous system disorders
Acute febrile neutrophilic dermatosis,Acute febrile neutrophilic dermatosis,10000748,Blood and lymphatic system disorders
Acute haemorrhagic oedema of infancy,Acute haemorrhagic oedema of infancy,10070599,Immune system disorders
Acute hepatic failure,Acute hepatic failure,10000804,Hepatobiliary disorders
Acute hepatitis B,Acute hepatitis B,10059193,Infections and infestations
Acute kidney injury,Acute kidney injury,10069339,Renal and urinary disorders
Acute left ventricular failure,Acute left ventricular failure,10063081,Cardiac disorders
Acute macular neuroretinopathy,Acute macular neuroretinopathy,10086444,Eye disorders
Acute myeloid leukaemia,Acute myeloid leukaemia,10000880,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Acute myocardial infarction,Acute myocardial infarction,10000891,Cardiac disorders
Acute psychosis,Acute psychosis,10001022,Psychiatric disorders
Acute respiratory failure,Acute respiratory failure,10001053,"Respiratory, thoracic and mediastinal disorders"
Acute sinusitis,Acute sinusitis,10001076,"Respiratory, thoracic and mediastinal disorders"
Acute stress disorder,Acute stress disorder,10001084,Psychiatric disorders
Addison's disease,Addison's disease,10001130,Metabolism and nutrition disorders
Adenoidal hypertrophy,Adenoidal hypertrophy,10001229,"Respiratory, thoracic and mediastinal disorders"
Adenoidectomy,Adenoidectomy,10001230,Surgical and medical procedures
Adenoiditis,Adenoiditis,10051223,Infections and infestations
Adenomyosis,Adenomyosis,10056268,Reproductive system and breast disorders
Adenotonsillectomy,Adenotonsillectomy,10001256,Surgical and medical procedures
Adenovirus infection,Adenovirus infection,10060931,Infections and infestations
Adenovirus test,Adenovirus test,10050991,Investigations
Adenovirus test negative,,,Unmapped
Adenovirus test positive,Adenovirus test positive,10070369,Investigations
Adhesion,Adhesion,10059837,General disorders and administration site conditions
Adjustment disorder,Adjustment disorder,10061621,Psychiatric disorders
Adjustment disorder with depressed mood,Adjustment disorder with depressed mood,10001297,Psychiatric disorders
Adjustment disorder with mixed anxiety and depressed mood,Adjustment disorder with mixed anxiety and depressed mood,10001299,Psychiatric disorders
Adnexa uteri pain,Adnexa uteri pain,10058841,Reproductive system and breast disorders
Adrenal adenoma,Adrenal adenoma,10001323,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Adrenal androgen excess,Adrenal androgen excess,10075903,Reproductive system and breast disorders
Adrenal disorder,Adrenal disorder,10001347,Endocrine disorders
Adrenal gland cancer,Adrenal gland cancer,10073152,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Adrenal insufficiency,Adrenal insufficiency,10001367,Endocrine disorders
Adrenal mass,Adrenal mass,10053235,Endocrine disorders
Adrenocortical insufficiency acute,Adrenocortical insufficiency acute,10001389,Endocrine disorders
Adrenogenital syndrome,Adrenogenital syndrome,10061630,Endocrine disorders
Adverse drug reaction,Adverse drug reaction,10061623,General disorders and administration site conditions
Adverse event,Adverse event,10060933,General disorders and administration site conditions
Adverse event following immunisation,Adverse event following immunisation,10069520,Immune system disorders
Adverse reaction,Adverse reaction,10067484,General disorders and administration site conditions
Affect lability,Affect lability,10054196,Psychiatric disorders
Affective disorder,Affective disorder,10001443,Psychiatric disorders
Ageusia,Ageusia,10001480,Gastrointestinal disorders
Aggression,Aggression,10001488,Psychiatric disorders
Agitation,Agitation,10001497,Nervous system disorders
Agnosia,Agnosia,10048663,Nervous system disorders
Agonal respiration,Agonal respiration,10085467,Cardiac disorders
Agoraphobia,Agoraphobia,10001502,Psychiatric disorders
Agranulocytosis,Agranulocytosis,10001507,Blood and lymphatic system disorders
Agraphia,Agraphia,10001508,Nervous system disorders
Alanine aminotransferase,Alanine aminotransferase,10001546,Investigations
Alanine aminotransferase abnormal,Alanine aminotransferase abnormal,10001547,Investigations
Alanine aminotransferase increased,Alanine aminotransferase increased,10001551,Investigations
Alanine aminotransferase normal,Alanine aminotransferase normal,10001552,Investigations
Albinism,Albinism,10001557,Metabolism and nutrition disorders
Albumin CSF decreased,Albumin CSF decreased,10059979,Investigations
Albumin globulin ratio decreased,Albumin globulin ratio decreased,10001565,Investigations
Albumin globulin ratio increased,Albumin globulin ratio increased,10001567,Investigations
Albumin globulin ratio normal,Albumin globulin ratio normal,10001569,Investigations
Albuminocytological dissociation present,Albuminocytological dissociation present,10091577,Investigations
Alcohol intolerance,Alcohol intolerance,10001598,Metabolism and nutrition disorders
Alcohol use,Alcohol use,10048921,Social circumstances
Aldolase,Aldolase,10050286,Investigations
Aldolase increased,Aldolase increased,10001642,Investigations
Aldolase normal,Aldolase normal,10001643,Investigations
Aldosterone/renin ratio,Aldosterone/renin ratio,10090044,Investigations
Alexia,Alexia,10001663,Nervous system disorders
Allergic reaction to excipient,Allergic reaction to excipient,10078853,Immune system disorders
Allergic respiratory symptom,Allergic respiratory symptom,10063527,"Respiratory, thoracic and mediastinal disorders"
Allergic sinusitis,Allergic sinusitis,10049153,"Respiratory, thoracic and mediastinal disorders"
Allergy test,Allergy test,10053462,Investigations
Allergy test negative,Allergy test negative,10056362,Investigations
Allergy test positive,Allergy test positive,10056352,Investigations
Allergy to animal,Allergy to animal,10001742,Immune system disorders
Allergy to arthropod bite,Allergy to arthropod bite,10058285,Immune system disorders
Allergy to arthropod sting,Allergy to arthropod sting,10058284,Immune system disorders
Allergy to chemicals,Allergy to chemicals,10061626,Skin and subcutaneous tissue disorders
Allergy to metals,Allergy to metals,10066414,Immune system disorders
Allergy to plants,Allergy to plants,10054928,Immune system disorders
Allergy to vaccine,Allergy to vaccine,10055048,"Injury, poisoning and procedural complications"
Allodynia,Allodynia,10053552,Nervous system disorders
Alopecia,Alopecia,10001760,Skin and subcutaneous tissue disorders
Alopecia areata,Alopecia areata,10001761,Skin and subcutaneous tissue disorders
Alopecia totalis,Alopecia totalis,10001766,Skin and subcutaneous tissue disorders
Alopecia universalis,Alopecia universalis,10001767,Skin and subcutaneous tissue disorders
Alpha 1 foetoprotein normal,Alpha 1 foetoprotein normal,10001782,Investigations
Alpha 1 globulin,Alpha 1 globulin,10001783,Investigations
Alpha 2 globulin,Alpha 2 globulin,10001792,Investigations
Alpha tumour necrosis factor,Alpha tumour necrosis factor,10059981,Investigations
Alpha tumour necrosis factor increased,Alpha tumour necrosis factor increased,10059982,Investigations
Alpha-1 anti-trypsin,Alpha-1 anti-trypsin,10001803,Investigations
Alpha-1 anti-trypsin increased,Alpha-1 anti-trypsin increased,10001808,Investigations
Alpha-1 anti-trypsin normal,Alpha-1 anti-trypsin normal,10001810,Investigations
Alpha-1 antitrypsin deficiency,Alpha-1 antitrypsin deficiency,10083869,Hepatobiliary disorders
Altered state of consciousness,Altered state of consciousness,10001854,Psychiatric disorders
Altered visual depth perception,Altered visual depth perception,10053549,Eye disorders
Amblyopia,Amblyopia,10001906,Eye disorders
Amenorrhoea,Amenorrhoea,10001928,Endocrine disorders
Amino acid level,Amino acid level,10063258,Investigations
Amino acid level increased,Amino acid level increased,10063259,Investigations
Ammonia,Ammonia,10050287,Investigations
Ammonia decreased,Ammonia decreased,10001945,Investigations
Ammonia normal,Ammonia normal,10001947,Investigations
Amnesia,Amnesia,10001949,Nervous system disorders
Amniocentesis abnormal,Amniocentesis abnormal,10001959,Investigations
Amoeba test negative,Amoeba test negative,10072428,Investigations
Amusia,Amusia,10051498,Nervous system disorders
Amylase,Amylase,10002013,Investigations
Amylase decreased,Amylase decreased,10002014,Investigations
Amylase normal,Amylase normal,10072328,Investigations
Amyloidosis,Amyloidosis,10002022,Immune system disorders
Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis,10002026,Nervous system disorders
Anaemia,Anaemia,10002034,Blood and lymphatic system disorders
Anaemia macrocytic,Anaemia macrocytic,10002064,Metabolism and nutrition disorders
Anaemia of chronic disease,Anaemia of chronic disease,10002073,Blood and lymphatic system disorders
Anaemia of pregnancy,Anaemia of pregnancy,10066468,Blood and lymphatic system disorders
Anal abscess,Anal abscess,10048946,Infections and infestations
Anal fissure,Anal fissure,10002153,Gastrointestinal disorders
Anal fistula,Anal fistula,10002156,Gastrointestinal disorders
Anal fistula repair,Anal fistula repair,10082792,Surgical and medical procedures
Anal incontinence,Anal incontinence,10077605,Nervous system disorders
Anal prolapse,Anal prolapse,10065360,Gastrointestinal disorders
Anal pruritus,Anal pruritus,10068172,Gastrointestinal disorders
Analgesic drug level,Analgesic drug level,10060090,Investigations
Analgesic drug level therapeutic,Analgesic drug level therapeutic,10060943,Investigations
Anaphylactic reaction,Anaphylactic reaction,10002198,Vascular disorders
Anaphylactic shock,Anaphylactic shock,10002199,Vascular disorders
Anaphylactoid reaction,Anaphylactoid reaction,10002216,Vascular disorders
Anaphylaxis treatment,Anaphylaxis treatment,10002222,Surgical and medical procedures
Androgenetic alopecia,Androgenetic alopecia,10068168,Skin and subcutaneous tissue disorders
Aneurysm,Aneurysm,10002329,Vascular disorders
Anger,Anger,10002368,Psychiatric disorders
Angina pectoris,Angina pectoris,10002383,Cardiac disorders
Angiocardiogram,Angiocardiogram,10080743,Investigations
Angioedema,Angioedema,10002424,Immune system disorders
Angiogram,Angiogram,10061637,Investigations
Angiogram abnormal,Angiogram abnormal,10060956,Investigations
Angiogram cerebral,Angiogram cerebral,10052905,Investigations
Angiogram cerebral abnormal,Angiogram cerebral abnormal,10052906,Investigations
Angiogram cerebral normal,Angiogram cerebral normal,10052907,Investigations
Angiogram normal,Angiogram normal,10061638,Investigations
Angiogram pulmonary,Angiogram pulmonary,10002440,Investigations
Angiogram pulmonary abnormal,Angiogram pulmonary abnormal,10002441,Investigations
Angiogram pulmonary normal,Angiogram pulmonary normal,10002442,Investigations
Angiogram retina,Angiogram retina,10002443,Investigations
Angiopathy,Angiopathy,10059245,Vascular disorders
Angioplasty,Angioplasty,10002475,Surgical and medical procedures
Angiotensin converting enzyme,Angiotensin converting enzyme,10050289,Investigations
Angiotensin converting enzyme abnormal,Angiotensin converting enzyme abnormal,10087037,Investigations
Angiotensin converting enzyme normal,Angiotensin converting enzyme normal,10087039,Investigations
Angle closure glaucoma,Angle closure glaucoma,10002500,Eye disorders
Angular cheilitis,Angular cheilitis,10002509,Gastrointestinal disorders
Anhedonia,Anhedonia,10002511,Psychiatric disorders
Anhidrosis,Anhidrosis,10002512,Skin and subcutaneous tissue disorders
Animal bite,Animal bite,10002515,"Injury, poisoning and procedural complications"
Animal scratch,Animal scratch,10002519,"Injury, poisoning and procedural complications"
Anion gap,Anion gap,10002522,Investigations
Anion gap increased,Anion gap increased,10002528,Investigations
Anion gap normal,Anion gap normal,10002530,Investigations
Anisocytosis,Anisocytosis,10002536,Blood and lymphatic system disorders
Anisomastia,Anisomastia,10068732,Reproductive system and breast disorders
Ankle brachial index,Ankle brachial index,10062762,Investigations
Ankle brachial index abnormal,Ankle brachial index abnormal,10077378,Investigations
Ankle fracture,Ankle fracture,10002544,Musculoskeletal and connective tissue disorders
Ankylosing spondylitis,Ankylosing spondylitis,10002556,Musculoskeletal and connective tissue disorders
Anogenital dysplasia,Anogenital dysplasia,10051999,Reproductive system and breast disorders
Anonychia,Anonychia,10081861,Skin and subcutaneous tissue disorders
Anorectal discomfort,Anorectal discomfort,10068286,Gastrointestinal disorders
Anorectal manometry,Anorectal manometry,10053474,Investigations
Anosmia,Anosmia,10002653,"Respiratory, thoracic and mediastinal disorders"
Anovulatory cycle,Anovulatory cycle,10002659,Endocrine disorders
Anovulvar fistula,Anovulvar fistula,10050362,Reproductive system and breast disorders
Anti-GAD antibody,Anti-GAD antibody,10059729,Investigations
Anti-GAD antibody positive,Anti-GAD antibody positive,10059728,Investigations
Anti-Muellerian hormone level decreased,Anti-Muellerian hormone level decreased,10075158,Investigations
Anti-NMDA antibody positive,Anti-NMDA antibody positive,10072500,Investigations
Anti-aquaporin-4 antibody,Anti-aquaporin-4 antibody,10071466,Investigations
Anti-aquaporin-4 antibody negative,Anti-aquaporin-4 antibody negative,10072507,Investigations
Anti-cyclic citrullinated peptide antibody,Anti-cyclic citrullinated peptide antibody,10068810,Investigations
Anti-cyclic citrullinated peptide antibody negative,Anti-cyclic citrullinated peptide antibody negative,10068799,Investigations
Anti-cyclic citrullinated peptide antibody positive,Anti-cyclic citrullinated peptide antibody positive,10068798,Investigations
Anti-ganglioside antibody,Anti-ganglioside antibody,10071473,Investigations
Anti-ganglioside antibody negative,Anti-ganglioside antibody negative,10072515,Investigations
Anti-ganglioside antibody positive,Anti-ganglioside antibody positive,10072516,Investigations
Anti-insulin antibody increased,Anti-insulin antibody increased,10053815,Investigations
Anti-islet cell antibody negative,Anti-islet cell antibody negative,10072520,Investigations
Anti-melanoma differentiation-associated protein 5 antibody positive,Anti-melanoma differentiation-associated protein 5 antibody positive,10085439,Investigations
Anti-muscle specific kinase antibody,Anti-muscle specific kinase antibody,10071475,Investigations
Anti-neuronal antibody,Anti-neuronal antibody,10071463,Investigations
Anti-neutrophil cytoplasmic antibody positive vasculitis,Anti-neutrophil cytoplasmic antibody positive vasculitis,10050894,Vascular disorders
Anti-prothrombin antibody positive,Anti-prothrombin antibody positive,10049411,Investigations
Anti-thyroid antibody,Anti-thyroid antibody,10060325,Investigations
Anti-thyroid antibody increased,Anti-thyroid antibody increased,10085912,Investigations
Anti-thyroid antibody positive,Anti-thyroid antibody positive,10060310,Investigations
Anti-transglutaminase antibody,Anti-transglutaminase antibody,10071472,Investigations
Anti-vimentin antibody positive,Anti-vimentin antibody positive,10072528,Investigations
Anti-zinc transporter 8 antibody negative,Anti-zinc transporter 8 antibody negative,10072529,Investigations
Antiacetylcholine receptor antibody,Antiacetylcholine receptor antibody,10059956,Investigations
Antibody test,Antibody test,10060979,Investigations
Antibody test abnormal,Antibody test abnormal,10061425,Investigations
Antibody test negative,Antibody test negative,10061426,Investigations
Antibody test normal,Antibody test normal,10061429,Investigations
Antibody test positive,Antibody test positive,10061427,Investigations
Anticonvulsant drug level,Anticonvulsant drug level,10059466,Investigations
Antigliadin antibody,Antigliadin antibody,10080857,Investigations
Antimicrobial susceptibility test resistant,Antimicrobial susceptibility test resistant,10002793,Investigations
Antimitochondrial antibody,Antimitochondrial antibody,10002795,Investigations
Antineutrophil cytoplasmic antibody,Antineutrophil cytoplasmic antibody,10050552,Investigations
Antineutrophil cytoplasmic antibody negative,Antineutrophil cytoplasmic antibody negative,10060137,Investigations
Antineutrophil cytoplasmic antibody positive,Antineutrophil cytoplasmic antibody positive,10060136,Investigations
Antinuclear antibody,Antinuclear antibody,10002807,Investigations
Antinuclear antibody increased,Antinuclear antibody increased,10064726,Investigations
Antinuclear antibody negative,Antinuclear antibody negative,10002809,Investigations
Antinuclear antibody positive,Antinuclear antibody positive,10060055,Investigations
Antiphospholipid antibodies,Antiphospholipid antibodies,10058341,Investigations
Antiphospholipid antibodies negative,Antiphospholipid antibodies negative,10058342,Investigations
Antiphospholipid antibodies positive,Antiphospholipid antibodies positive,10048678,Investigations
Antiphospholipid syndrome,Antiphospholipid syndrome,10002817,Immune system disorders
Antisocial behaviour,Antisocial behaviour,10002820,Psychiatric disorders
Antisynthetase syndrome,Antisynthetase syndrome,10068801,Immune system disorders
Antithrombin III,Antithrombin III,10050640,Investigations
Anuria,Anuria,10002847,Renal and urinary disorders
Anxiety,Anxiety,10002855,Psychiatric disorders
Anxiety disorder,Anxiety disorder,10057666,Psychiatric disorders
Aortic aneurysm,Aortic aneurysm,10002882,Vascular disorders
Aortic dilatation,Aortic dilatation,10057453,Vascular disorders
Aortic stenosis,Aortic stenosis,10002906,Vascular disorders
Aortic thrombosis,Aortic thrombosis,10002910,Vascular disorders
Aortic valve incompetence,Aortic valve incompetence,10002915,Cardiac disorders
Aortic valve replacement,Aortic valve replacement,10002916,Surgical and medical procedures
Aortic valve sclerosis,Aortic valve sclerosis,10002917,Cardiac disorders
Aortitis,Aortitis,10002921,Vascular disorders
Apallic syndrome,Apallic syndrome,10002941,Nervous system disorders
Apathy,Apathy,10002942,Psychiatric disorders
Apgar score low,Apgar score low,10002944,Investigations
Aphasia,Aphasia,10002948,Nervous system disorders
Aphonia,Aphonia,10002953,Psychiatric disorders
Aphthous ulcer,Aphthous ulcer,10002959,Gastrointestinal disorders
Aplastic anaemia,Aplastic anaemia,10002967,Blood and lymphatic system disorders
Apnoea,Apnoea,10002974,"Respiratory, thoracic and mediastinal disorders"
Appendicectomy,Appendicectomy,10003010,Surgical and medical procedures
Appendicitis,Appendicitis,10003011,Infections and infestations
Appendicitis perforated,Appendicitis perforated,10003012,Infections and infestations
Appendicolith,Appendicolith,10074458,Gastrointestinal disorders
Appendix cancer,Appendix cancer,10073360,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Appendix disorder,Appendix disorder,10060960,Gastrointestinal disorders
Appetite disorder,Appetite disorder,10060961,Psychiatric disorders
Arachnoid cyst,Arachnoid cyst,10049005,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Arachnoiditis,Arachnoiditis,10003074,"Injury, poisoning and procedural complications"
Areflexia,Areflexia,10003084,Nervous system disorders
Arm amputation,Arm amputation,10003096,Surgical and medical procedures
Arnold-Chiari malformation,Arnold-Chiari malformation,10003101,"Congenital, familial and genetic disorders"
Arrhythmia,Arrhythmia,10003119,Cardiac disorders
Arterial catheterisation,Arterial catheterisation,10003148,Surgical and medical procedures
Arterial injury,Arterial injury,10003162,Vascular disorders
Arterial occlusive disease,Arterial occlusive disease,10062599,Vascular disorders
Arterial thrombosis,Arterial thrombosis,10003178,Vascular disorders
Arteriogram carotid,Arteriogram carotid,10003194,Investigations
Arteriogram carotid normal,Arteriogram carotid normal,10003196,Investigations
Arteriosclerosis,Arteriosclerosis,10003210,Vascular disorders
Arteriosclerosis coronary artery,Arteriosclerosis coronary artery,10003211,Cardiac disorders
Arteriospasm coronary,Arteriospasm coronary,10003225,Vascular disorders
Artery dissection,Artery dissection,10061660,Vascular disorders
Arthralgia,Arthralgia,10003239,Musculoskeletal and connective tissue disorders
Arthritis,Arthritis,10003246,Musculoskeletal and connective tissue disorders
Arthritis bacterial,Arthritis bacterial,10053555,Musculoskeletal and connective tissue disorders
Arthritis infective,Arthritis infective,10060968,Musculoskeletal and connective tissue disorders
Arthritis reactive,Arthritis reactive,10003267,Infections and infestations
Arthrogram abnormal,Arthrogram abnormal,10003279,Investigations
Arthropathy,Arthropathy,10003285,Musculoskeletal and connective tissue disorders
Arthropod bite,Arthropod bite,10003399,"Injury, poisoning and procedural complications"
Arthropod sting,Arthropod sting,10003402,"Injury, poisoning and procedural complications"
Artificial crown procedure,Artificial crown procedure,10058456,Surgical and medical procedures
Ascending flaccid paralysis,Ascending flaccid paralysis,10087798,Infections and infestations
Ascites,Ascites,10003445,Cardiac disorders
Aspartate aminotransferase,Aspartate aminotransferase,10003476,Investigations
Aspartate aminotransferase abnormal,Aspartate aminotransferase abnormal,10003477,Investigations
Aspartate aminotransferase increased,Aspartate aminotransferase increased,10003481,Investigations
Aspartate aminotransferase normal,Aspartate aminotransferase normal,10003482,Investigations
Aspergillus test,Aspergillus test,10070450,Investigations
Asphyxia,Asphyxia,10003497,"Respiratory, thoracic and mediastinal disorders"
Aspiration,Aspiration,10003504,"Respiratory, thoracic and mediastinal disorders"
Aspiration bone marrow,Aspiration bone marrow,10003505,Investigations
Aspiration joint,Aspiration joint,10003517,Investigations
Aspiration joint abnormal,Aspiration joint abnormal,10003518,Investigations
Aspiration pleural cavity,Aspiration pleural cavity,10003522,Investigations
Asterixis,Asterixis,10003547,Nervous system disorders
Asthenia,Asthenia,10003549,Psychiatric disorders
Asthenopia,Asthenopia,10003552,Eye disorders
Asthma,Asthma,10003553,"Respiratory, thoracic and mediastinal disorders"
Asthma exercise induced,Asthma exercise induced,10003557,"Respiratory, thoracic and mediastinal disorders"
Asthma late onset,Asthma late onset,10003559,"Respiratory, thoracic and mediastinal disorders"
Astrocytoma malignant,Astrocytoma malignant,10060971,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Astrovirus test,Astrovirus test,10086214,Investigations
Ataxia,Ataxia,10003591,Nervous system disorders
Atelectasis,Atelectasis,10003598,"Respiratory, thoracic and mediastinal disorders"
Atherectomy,Atherectomy,10063025,Surgical and medical procedures
Atlantoaxial instability,Atlantoaxial instability,10063580,Musculoskeletal and connective tissue disorders
Atrial fibrillation,Atrial fibrillation,10003658,Cardiac disorders
Atrial flutter,Atrial flutter,10003662,Cardiac disorders
Atrial septal defect,Atrial septal defect,10003664,Cardiac disorders
Atrial septal defect repair,Atrial septal defect repair,10003667,Surgical and medical procedures
Atrial tachycardia,Atrial tachycardia,10003668,Cardiac disorders
Atrial thrombosis,Atrial thrombosis,10048632,Cardiac disorders
Atrioventricular block,Atrioventricular block,10003671,Cardiac disorders
Atrioventricular block complete,Atrioventricular block complete,10003673,Cardiac disorders
Atrioventricular block first degree,Atrioventricular block first degree,10003674,Cardiac disorders
Atrioventricular block second degree,Atrioventricular block second degree,10003677,Cardiac disorders
Atrophic vulvovaginitis,Atrophic vulvovaginitis,10003693,Reproductive system and breast disorders
Atrophy,Atrophy,10003694,General disorders and administration site conditions
Attention deficit hyperactivity disorder,Attention deficit hyperactivity disorder,10083622,Psychiatric disorders
Atypical pneumonia,Atypical pneumonia,10003757,"Respiratory, thoracic and mediastinal disorders"
Audiogram,Audiogram,10003760,Investigations
Audiogram abnormal,Audiogram abnormal,10003761,Investigations
Auditory disorder,Auditory disorder,10003778,Ear and labyrinth disorders
Auditory nerve disorder,Auditory nerve disorder,10078794,Nervous system disorders
Aura,Aura,10003791,Nervous system disorders
Autism spectrum disorder,Autism spectrum disorder,10063844,Nervous system disorders
Autoantibody negative,Autoantibody negative,10060974,Investigations
Autoantibody positive,Autoantibody positive,10060973,Investigations
Autoantibody test,Autoantibody test,10060972,Investigations
Autoimmune arthritis,Autoimmune arthritis,10071155,Musculoskeletal and connective tissue disorders
Autoimmune disorder,Autoimmune disorder,10061664,Immune system disorders
Autoimmune haemolytic anaemia,Autoimmune haemolytic anaemia,10073785,Blood and lymphatic system disorders
Autoimmune hepatitis,Autoimmune hepatitis,10003827,Hepatobiliary disorders
Autoimmune inner ear disease,Autoimmune inner ear disease,10065996,Ear and labyrinth disorders
Autoimmune pancreatitis,Autoimmune pancreatitis,10069002,Gastrointestinal disorders
Autoimmune thyroiditis,Autoimmune thyroiditis,10049046,Endocrine disorders
Autologous blood patching,Autologous blood patching,10089468,Surgical and medical procedures
Autonomic dysreflexia,Autonomic dysreflexia,10068196,"Injury, poisoning and procedural complications"
Autonomic failure syndrome,Autonomic failure syndrome,10056339,Vascular disorders
Autonomic nervous system imbalance,Autonomic nervous system imbalance,10003840,Vascular disorders
Autonomic neuropathy,Autonomic neuropathy,10061666,Nervous system disorders
Autophony,Autophony,10048827,Ear and labyrinth disorders
Autopsy,Autopsy,10050117,Investigations
Axillary lymphadenectomy,Axillary lymphadenectomy,10068477,Surgical and medical procedures
Axillary mass,Axillary mass,10049021,Musculoskeletal and connective tissue disorders
Axillary pain,Axillary pain,10048750,General disorders and administration site conditions
Axonal and demyelinating polyneuropathy,Axonal and demyelinating polyneuropathy,10084153,Infections and infestations
Axonal neuropathy,Axonal neuropathy,10003882,Nervous system disorders
Azotaemia,Azotaemia,10003885,Renal and urinary disorders
B-cell lymphoma,B-cell lymphoma,10003899,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
B-cell small lymphocytic lymphoma,B-cell small lymphocytic lymphoma,10003908,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
B-lymphocyte count abnormal,B-lymphocyte count abnormal,10078589,Investigations
BRCA1 gene mutation assay,BRCA1 gene mutation assay,10071963,Investigations
Back disorder,Back disorder,10003983,Musculoskeletal and connective tissue disorders
Back injury,Back injury,10003986,"Injury, poisoning and procedural complications"
